NEIGHBORHOOD,SALE_PRICE_TO_SQUARE_FOOT_RATIO,BOROUGH,NUM_TRANSACTIONS_PER_BOROUGH,BOROUGH_SIZE,TRANSACTIONS_TO_SIZE_RATIO,YEAR_BUILT,MEDIAN_SALES_PRICE
AIRPORT LA GUARDIA,353.5353535,4,26736,108.1,247.3265495,1950,425000
ALPHABET CITY,929.2293943,1,18306,22.82,802.1910605,1937,1014940
ANNADALE,319.9786325,5,8410,58.69,143.2952803,1985,590000
ARDEN HEIGHTS,256.0763889,5,8410,58.69,143.2952803,1987.5,380000
ARROCHAR,324.9730138,5,8410,58.69,143.2952803,1988,570000
ARROCHAR-SHORE ACRES,310.0683761,5,8410,58.69,143.2952803,1987,350000
ARVERNE,201.1774601,4,26736,108.1,247.3265495,1960,340863
ASTORIA,510.7726597,4,26736,108.1,247.3265495,1940,850000
BATH BEACH,491.4146798,3,24047,69.5,346,1940,828409.5
BATHGATE,170.2861082,2,7049,42.47,165.975983,1926,420000
BAY RIDGE,512.6953125,3,24047,69.5,346,1928,580000
BAYCHESTER,210.8521178,2,7049,42.47,165.975983,1955,383250
BAYSIDE,536.4995602,4,26736,108.1,247.3265495,1955,645000
BEDFORD PARK/NORWOOD,187.9491432,2,7049,42.47,165.975983,1924,358000
BEDFORD STUYVESANT,438.228738,3,24047,69.5,346,1910,995000
BEECHHURST,575,4,26736,108.1,247.3265495,1956,380000
BELLE HARBOR,428.1302211,4,26736,108.1,247.3265495,1940,807500
BELLEROSE,391.6005695,4,26736,108.1,247.3265495,1945,563500
BELMONT,234.8143982,2,7049,42.47,165.975983,1920,545000
BENSONHURST,525.4306387,3,24047,69.5,346,1930,990000
BERGEN BEACH,335.1489362,3,24047,69.5,346,1970,613250
BOERUM HILL,901.0000594,3,24047,69.5,346,1920,1453231
BOROUGH PARK,496.4154412,3,24047,69.5,346,1930,980000
BRIARWOOD,431.402439,4,26736,108.1,247.3265495,1956,210000
BRIGHTON BEACH,360.4587657,3,24047,69.5,346,2003,549855
BROAD CHANNEL,296.7539474,4,26736,108.1,247.3265495,1925,287500
BRONX PARK,133.4286395,2,7049,42.47,165.975983,1915,560000
BRONXDALE,230.8105207,2,7049,42.47,165.975983,1950,361500
BROOKLYN HEIGHTS,1197.420987,3,24047,69.5,346,1937,1501923
BROWNSVILLE,212.962963,3,24047,69.5,346,1930,460000
BULLS HEAD,295.091234,5,8410,58.69,143.2952803,1981,432500
BUSH TERMINAL,405.1565378,3,24047,69.5,346,1914,850000
BUSHWICK,345.2780888,3,24047,69.5,346,1920,875000
CAMBRIA HEIGHTS,329.9751096,4,26736,108.1,247.3265495,1945,407538.5
CANARSIE,264.4337226,3,24047,69.5,346,1955,461600
CARROLL GARDENS,918.412642,3,24047,69.5,346,1901,1650000
CASTLE HILL/UNIONPORT,214.2200102,2,7049,42.47,165.975983,1947.5,475500
CASTLETON CORNERS,372.0057566,5,8410,58.69,143.2952803,1947,511250
CHELSEA,1234.890695,1,18306,22.82,802.1910605,1940,1425000
CHINATOWN,836.6728609,1,18306,22.82,802.1910605,1920,1745312.5
CITY ISLAND,324.4613435,2,7049,42.47,165.975983,1937,495000
CITY ISLAND-PELHAM STRIP,518.3098592,2,7049,42.47,165.975983,1955,736000
CIVIC CENTER,870.0814806,1,18306,22.82,802.1910605,2007,5193075
CLINTON,1188.051948,1,18306,22.82,802.1910605,1950,1140000
CLINTON HILL,641.3690476,3,24047,69.5,346,1944,855330
CLOVE LAKES,369.4236554,5,8410,58.69,143.2952803,1958.5,462500
CO-OP CITY,11.88888889,2,7049,42.47,165.975983,1985,107000
COBBLE HILL,1149.583147,3,24047,69.5,346,1900,867500
COBBLE HILL-WEST,633.6481481,3,24047,69.5,346,1931,1130000
COLLEGE POINT,430.4347826,4,26736,108.1,247.3265495,1945,722500
CONCORD,268.1605574,5,8410,58.69,143.2952803,1970,330000
CONCORD-FOX HILLS,327.6474769,5,8410,58.69,143.2952803,1995,301000
CONEY ISLAND,328.1710914,3,24047,69.5,346,1964,430000
CORONA,401.0762952,4,26736,108.1,247.3265495,1931,650000
COUNTRY CLUB,273.6655773,2,7049,42.47,165.975983,1955,499500
CROTONA PARK,180.3480523,2,7049,42.47,165.975983,1922,453162
CROWN HEIGHTS,363.2401017,3,24047,69.5,346,1920,903700
CYPRESS HILLS,256.7354725,3,24047,69.5,346,1910,561250
DONGAN HILLS,375.1301832,5,8410,58.69,143.2952803,1965,610000
DONGAN HILLS-COLONY,391.2337421,5,8410,58.69,143.2952803,1955,785200
DONGAN HILLS-OLD TOWN,335.9858532,5,8410,58.69,143.2952803,1986,380000
DOUGLASTON,549.3051667,4,26736,108.1,247.3265495,1953,542500
DOWNTOWN-FULTON FERRY,904.6702997,3,24047,69.5,346,1916,1738994
DOWNTOWN-FULTON MALL,1661.676647,3,24047,69.5,346,2014,1540000
DOWNTOWN-METROTECH,625.5995409,3,24047,69.5,346,1950,778055
DYKER HEIGHTS,572.582127,3,24047,69.5,346,1925,972000
EAST ELMHURST,397.0588235,4,26736,108.1,247.3265495,1930,690000
EAST NEW YORK,231.1622025,3,24047,69.5,346,1925,450000
EAST RIVER,560,2,7049,42.47,165.975983,1974,11200000
EAST TREMONT,187.9379911,2,7049,42.47,165.975983,1925,430000
EAST VILLAGE,907.7142857,1,18306,22.82,802.1910605,1920,1060000
ELMHURST,440.7616361,4,26736,108.1,247.3265495,1954,510000
ELTINGVILLE,329.8611111,5,8410,58.69,143.2952803,1975,502500
EMERSON HILL,406.6382881,5,8410,58.69,143.2952803,1967.5,900000
FAR ROCKAWAY,206.9322297,4,26736,108.1,247.3265495,1950,413700
FASHION,791.3674914,1,18306,22.82,802.1910605,1929,1872500
